,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
112,"['SANASAFINAZ', 'METRO']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
113,"['ALKARAMSTUDIO', 'METRO']",['SANASAFINAZ'],0.011363636,0.079545455,0.011363636,1,12.57142857,0.010459711,inf
114,"['ALKARAMSTUDIO', 'METRO']",['SAPPHIRE'],0.011363636,0.090909091,0.011363636,1,11,0.010330579,inf
115,"['ALKARAMSTUDIO', 'SAPPHIRE']",['METRO'],0.022727273,0.147727273,0.011363636,0.5,3.384615385,0.008006198,1.704545455
116,"['METRO', 'SAPPHIRE']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
117,"['ALKARAMSTUDIO', 'METRO']",['KHAADI'],0.011363636,0.272727273,0.011363636,1,3.666666667,0.008264463,inf
118,"['OUTFITTER', 'ALKARAMSTUDIO']",['NDURE'],0.034090909,0.25,0.022727273,0.666666667,2.666666667,0.014204545,2.25
119,"['ALKARAMSTUDIO', 'NDURE']",['OUTFITTER'],0.034090909,0.477272727,0.022727273,0.666666667,1.396825397,0.006456612,1.568181818
120,"['ALKARAMSTUDIO', 'SAPPHIRE']",['NDURE'],0.022727273,0.25,0.011363636,0.5,2,0.005681818,1.5
121,"['NDURE', 'SAPPHIRE']",['ALKARAMSTUDIO'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
122,"['ALKARAMSTUDIO', 'BONANZA']",['NDURE'],0.022727273,0.25,0.011363636,0.5,2,0.005681818,1.5
123,"['ALKARAMSTUDIO', 'GULAHMED']",['NDURE'],0.011363636,0.25,0.011363636,1,4,0.008522727,inf
124,"['LIMELIGHT', 'ALKARAMSTUDIO']",['NDURE'],0.022727273,0.25,0.011363636,0.5,2,0.005681818,1.5
125,"['ALKARAMSTUDIO', 'NISHATLINEN']",['Junaid Jamshad'],0.011363636,0.079545455,0.011363636,1,12.57142857,0.010459711,inf
126,"['ALKARAMSTUDIO', 'Junaid Jamshad']",['NISHATLINEN'],0.011363636,0.079545455,0.011363636,1,12.57142857,0.010459711,inf
127,"['NISHATLINEN', 'Junaid Jamshad']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
128,"['OUTFITTER', 'SAPPHIRE']",['ALKARAMSTUDIO'],0.022727273,0.136363636,0.011363636,0.5,3.666666667,0.008264463,1.727272727
129,"['ALKARAMSTUDIO', 'SAPPHIRE']",['OUTFITTER'],0.022727273,0.477272727,0.011363636,0.5,1.047619048,0.000516529,1.045454545
130,"['OUTFITTER', 'ALKARAMSTUDIO']",['BONANZA'],0.034090909,0.170454545,0.022727273,0.666666667,3.911111111,0.016916322,2.488636364
131,"['ALKARAMSTUDIO', 'BONANZA']",['OUTFITTER'],0.022727273,0.477272727,0.022727273,1,2.095238095,0.011880165,inf
132,"['ALKARAMSTUDIO', 'GULAHMED']",['OUTFITTER'],0.011363636,0.477272727,0.011363636,1,2.095238095,0.005940083,inf
133,"['SANASAFINAZ', 'ALKARAMSTUDIO']",['SAPPHIRE'],0.022727273,0.090909091,0.011363636,0.5,5.5,0.009297521,1.818181818
134,"['SANASAFINAZ', 'SAPPHIRE']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
135,"['ALKARAMSTUDIO', 'SAPPHIRE']",['SANASAFINAZ'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
136,"['SANASAFINAZ', 'ALKARAMSTUDIO']",['KHAADI'],0.022727273,0.272727273,0.022727273,1,3.666666667,0.016528926,inf
137,"['ALKARAMSTUDIO', 'KHAADI']",['SANASAFINAZ'],0.045454545,0.079545455,0.022727273,0.5,6.285714286,0.01911157,1.840909091
138,"['ALKARAMSTUDIO', 'GULAHMED']",['SAPPHIRE'],0.011363636,0.090909091,0.011363636,1,11,0.010330579,inf
139,"['SAPPHIRE', 'GULAHMED']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
140,"['ALKARAMSTUDIO', 'SAPPHIRE']",['GULAHMED'],0.022727273,0.102272727,0.011363636,0.5,4.888888889,0.009039256,1.795454545
141,"['SAPPHIRE', 'KHAADI']",['ALKARAMSTUDIO'],0.011363636,0.136363636,0.011363636,1,7.333333333,0.00981405,inf
